採集日期,基準地址,店家代碼,店家名稱,採集狀態,商品總數,評分,評價數,原始JSON檔案,店家網址
2026-08-25,台北市士林區中山北路七段81巷,e84c391967d02c40c3972d269a29bdbf,寧夏夜市 東石鮮蚵,SUCCESS,37,4.7,1000,20260825232752_e84c3919_寧夏夜市_東石鮮蚵.json,https://www.ubereats.com/tw/store/%E5%AF%A7%E5%A4%8F%E5%A4%9C%E5%B8%82-%E6%9D%B1%E7%9F%B3%E9%AE%AE%E8%9A%B5/Svpf709BWGuvHJkT8vu6ow
2026-08-25,台北市士林區中山北路七段81巷,00903fc7469f97335f38c92a7daabd9f,築間幸福鍋物 士林承德店,SUCCESS,32,4.4,85,20260825232752_00903fc7_築間幸福鍋物_士林承德店.json,https://www.ubereats.com/tw/store/%E7%AF%89%E9%96%93%E5%B9%B8%E7%A6%8F%E9%8D%8B%E7%89%A9-%E5%A3%AB%E6%9E%97%E6%89%BF%E5%BE%B7%E5%BA%97/LodvlOxLV6OuAoIA-vnQFQ
2026-08-25,台北市士林區中山北路七段81巷,b760d99b30661ad8794b137a50d15288,士林夜市 日上鐵板燒,SUCCESS,36,4.6,50,20260825232752_b760d99b_士林夜市_日上鐵板燒.json,https://www.ubereats.com/tw/store/%E5%A3%AB%E6%9E%97%E5%A4%9C%E5%B8%82-%E6%97%A5%E4%B8%8A%E9%90%B5%E6%9D%BF%E7%87%92/pcATyo6VXlOZBn0xxdRb-A
2026-08-25,台北市士林區中山北路七段81巷,2595fb31424c6057cb91f23c10153087,康廚麻油雙腰,SUCCESS,70,4.8,1000,20260825232752_2595fb31_康廚麻油雙腰.json,https://www.ubereats.com/tw/store/%E5%BA%B7%E5%BB%9A%E9%BA%BB%E6%B2%B9%E9%9B%99%E8%85%B0/x_GBGcKNRY2CA4WpgaSr_g
2026-08-25,台北市士林區中山北路七段81巷,486b443a3bc80c8f768b572a36812f8a,基隆港古早味 二店,SUCCESS,20,4.6,500,20260825232752_486b443a_基隆港古早味_二店.json,https://www.ubereats.com/tw/store/%E5%9F%BA%E9%9A%86%E6%B8%AF%E5%8F%A4%E6%97%A9%E5%91%B3-%E4%BA%8C%E5%BA%97/xYufegy1QhqHjCfjTbAFXw
2026-08-25,台北市士林區中山北路七段81巷,eaca736626b7b0ad79e2f5a3e88692b7,延三碳烤,SUCCESS,57,4.6,500,20260825232752_eaca7366_延三碳烤.json,https://www.ubereats.com/tw/store/%E5%BB%B6%E4%B8%89%E7%A2%B3%E7%83%A4/gUDsV6ePQeKgFa6e_8aGPA
2026-08-25,台北市士林區中山北路七段81巷,63c1c5b93d2855ba40b5b704b3969c40,Graffee Cafe 咖啡街台韓式料理餐館,SUCCESS,40,4.8,160,20260825232752_63c1c5b9_Graffee_Cafe_咖啡街台韓式料理餐館.json,https://www.ubereats.com/tw/store/graffee-cafe-%E5%92%96%E5%95%A1%E8%A1%97%E5%8F%B0%E9%9F%93%E5%BC%8F%E6%96%99%E7%90%86%E9%A4%90%E9%A4%A8/VnI0bsNqWDuOg59u2Gz37g
2026-08-25,台北市士林區中山北路七段81巷,e88292ea444edb7fa288105bc0184dc7,天燒 AMAYAKI 現代居酒屋,SUCCESS,51,5,7,20260825232752_e88292ea_天燒_AMAYAKI_現代居酒屋.json,https://www.ubereats.com/tw/store/%E5%A4%A9%E7%87%92-amayaki-%E7%8F%BE%E4%BB%A3%E5%B1%85%E9%85%92%E5%B1%8B/IfHv34fjUi-QFwvCVMdfXA
2026-08-25,台北市士林區中山北路七段81巷,c65c25191ed929770a44a71cbabe6767,紅茶洋行 蘆洲信義店,SUCCESS,80,4.9,210,20260825232752_c65c2519_紅茶洋行_蘆洲信義店.json,https://www.ubereats.com/tw/store/%E7%B4%85%E8%8C%B6%E6%B4%8B%E8%A1%8C-%E8%98%86%E6%B4%B2%E4%BF%A1%E7%BE%A9%E5%BA%97/XZC5QUqTXWutajicd_x3pA
2026-08-25,台北市士林區中山北路七段81巷,f30cf79b0c48652464767f09ae95b974,唐山婆古早味炸肉,SUCCESS,37,4.8,4000,20260825232752_f30cf79b_唐山婆古早味炸肉.json,https://www.ubereats.com/tw/store/%E5%94%90%E5%B1%B1%E5%A9%86%E5%8F%A4%E6%97%A9%E5%91%B3%E7%82%B8%E8%82%89/zQAzA0ENSfm1X9PyEWUUfA
